Date,Color,Rig Number,Region
03-29-2020,Orange,565,West Texas
03-29-2020,Orange,565,West Texas
03-29-2020,Orange,565,West Texas
03-29-2020,Orange,807,West Texas
03-29-2020,Orange,810,West Texas
03-29-2020,Red,274,West Texas
04-05-2020,Orange,256,West Texas
04-05-2020,Orange,256,West Texas
04-05-2020,Orange,559,West Texas
04-05-2020,Orange,565,West Texas
04-05-2020,Orange,565,West Texas
04-05-2020,Orange,565,West Texas
04-05-2020,Orange,565,West Texas
04-05-2020,Orange,575,West Texas
04-05-2020,Orange,595,West Texas
04-05-2020,Orange,810,West Texas
04-05-2020,Orange,810,West Texas
04-05-2020,Other,810,West Texas
04-12-2020,Orange,225,West Texas
04-12-2020,Orange,288,West Texas
04-12-2020,Orange,565,West Texas
04-12-2020,Orange,575,West Texas
04-12-2020,Orange,595,West Texas
04-12-2020,Orange,595,West Texas
04-12-2020,Orange,597,West Texas
04-12-2020,Orange,803,West Texas
04-12-2020,Orange,807,West Texas
04-12-2020,Orange,810,West Texas
04-12-2020,Red,565,West Texas
04-12-2020,Red,804,West Texas
04-12-2020,Other,295,West Texas
04-12-2020,Other,810,West Texas
04-19-2020,Orange,295,West Texas
04-19-2020,Orange,298,West Texas
04-19-2020,Orange,595,West Texas
04-19-2020,Orange,597,West Texas
04-19-2020,Red,288,West Texas
04-19-2020,Red,597,West Texas
04-26-2020,Orange,256,West Texas
04-26-2020,Orange,256,West Texas
04-26-2020,Orange,256,West Texas
04-26-2020,Orange,256,West Texas
04-26-2020,Orange,288,West Texas
04-26-2020,Orange,295,West Texas
04-26-2020,Orange,298,West Texas
04-26-2020,Orange,565,West Texas
04-26-2020,Orange,575,West Texas
04-26-2020,Orange,595,West Texas
04-26-2020,Orange,595,West Texas
04-26-2020,Orange,810,West Texas
04-26-2020,Orange,810,West Texas
04-26-2020,Orange,814,West Texas
04-26-2020,Orange,814,West Texas
05-03-2020,Orange,256,West Texas
05-03-2020,Orange,274,West Texas
05-03-2020,Orange,274,West Texas
05-03-2020,Orange,288,West Texas
05-03-2020,Orange,575,West Texas
05-03-2020,Orange,575,West Texas
05-03-2020,Orange,810,West Texas
05-03-2020,Other,288,West Texas
05-10-2020,Orange,256,West Texas
05-10-2020,Orange,256,West Texas
05-10-2020,Orange,256,West Texas
05-10-2020,Orange,256,West Texas
05-10-2020,Orange,256,West Texas
05-10-2020,Orange,295,West Texas
05-10-2020,Red,597,West Texas
05-17-2020,Orange,274,West Texas
05-17-2020,Orange,560,West Texas
05-17-2020,Orange,565,West Texas
05-17-2020,Orange,565,West Texas
05-17-2020,Orange,565,West Texas
05-17-2020,Orange,803,West Texas
05-17-2020,Orange,810,West Texas
05-24-2020,Orange,575,West Texas
05-24-2020,Orange,803,West Texas
05-24-2020,Orange,803,West Texas
05-31-2020,Orange,298,West Texas
05-31-2020,Orange,575,West Texas
05-31-2020,Orange,575,West Texas
05-31-2020,Orange,804,West Texas
06-07-2020,Orange,298,West Texas
06-07-2020,Orange,298,West Texas
06-07-2020,Orange,595,West Texas
06-07-2020,Orange,810,West Texas
06-07-2020,Orange,810,West Texas
06-14-2020,Orange,257,West Texas
06-14-2020,Red,597,West Texas
06-21-2020,Orange,298,West Texas
06-21-2020,Orange,575,West Texas
06-21-2020,Red,257,West Texas
06-21-2020,Red,597,West Texas
06-28-2020,Orange,295,West Texas
06-28-2020,Orange,298,West Texas
06-28-2020,Orange,298,West Texas
06-28-2020,Orange,565,West Texas
06-28-2020,Orange,565,West Texas
06-28-2020,Orange,575,West Texas
06-28-2020,Orange,575,West Texas
06-28-2020,Orange,803,West Texas
06-28-2020,Orange,803,West Texas
06-28-2020,Orange,803,West Texas
06-28-2020,Orange,810,West Texas
07-05-2020,Orange,257,West Texas
07-05-2020,Orange,295,West Texas
07-05-2020,Orange,565,West Texas
07-05-2020,Orange,575,West Texas
07-05-2020,Orange,803,West Texas
07-05-2020,Orange,803,West Texas
07-05-2020,Orange,803,West Texas
07-05-2020,Orange,803,West Texas
07-05-2020,Orange,803,West Texas
07-05-2020,Orange,803,West Texas
07-05-2020,Red,257,West Texas
07-12-2020,Orange,295,West Texas
07-12-2020,Orange,565,West Texas
07-12-2020,Orange,803,West Texas
07-12-2020,Orange,803,West Texas
07-12-2020,Orange,810,West Texas
07-12-2020,Orange,810,West Texas
07-19-2020,Orange,575,West Texas
07-19-2020,Orange,810,West Texas
07-19-2020,Orange,810,West Texas
07-19-2020,Orange,810,West Texas
07-19-2020,Orange,815,West Texas
07-19-2020,Red,595,West Texas
07-19-2020,Other,815,West Texas
07-26-2020,Orange,288,West Texas
07-26-2020,Orange,298,West Texas
07-26-2020,Orange,298,West Texas
07-26-2020,Orange,810,West Texas
07-26-2020,Other,815,West Texas
07-26-2020,Other,815,West Texas
08-02-2020,Orange,253,West Texas
08-02-2020,Orange,288,West Texas
08-02-2020,Orange,288,West Texas
08-02-2020,Orange,298,West Texas
08-02-2020,Orange,298,West Texas
08-02-2020,Orange,298,West Texas
08-02-2020,Orange,565,West Texas
08-02-2020,Orange,565,West Texas
08-02-2020,Orange,565,West Texas
08-02-2020,Orange,565,West Texas
08-02-2020,Red,815,West Texas
08-02-2020,Other,815,West Texas
08-09-2020,Orange,253,West Texas
08-09-2020,Orange,295,West Texas
08-09-2020,Orange,565,West Texas
08-09-2020,Orange,565,West Texas
08-09-2020,Orange,565,West Texas
08-09-2020,Orange,807,West Texas
08-09-2020,Other,562,West Texas
08-09-2020,Other,815,West Texas
08-16-2020,Orange,298,West Texas
08-16-2020,Orange,562,West Texas
08-16-2020,Orange,565,West Texas
08-16-2020,Orange,565,West Texas
08-16-2020,Orange,575,West Texas
08-16-2020,Orange,807,West Texas
08-16-2020,Orange,810,West Texas
08-16-2020,Red,560,West Texas
08-16-2020,Red,560,West Texas
08-23-2020,Orange,253,West Texas
08-23-2020,Orange,298,West Texas
08-23-2020,Orange,562,West Texas
08-23-2020,Orange,562,West Texas
08-23-2020,Orange,565,West Texas
08-23-2020,Orange,575,West Texas
