Date,Color,Rig Number,Region
10-31-2021,Orange,586,East Texas
11-07-2021,Orange,279,East Texas
11-07-2021,Orange,591,East Texas
11-14-2021,Orange,586,East Texas
11-21-2021,Orange,269,East Texas
11-21-2021,Orange,279,East Texas
11-21-2021,Orange,586,East Texas
11-21-2021,Orange,587,East Texas
11-21-2021,Orange,587,East Texas
11-21-2021,Orange,591,East Texas
11-21-2021,Orange,591,East Texas
11-21-2021,Orange,591,East Texas
12-05-2021,Orange,269,East Texas
12-12-2021,Orange,591,East Texas
12-19-2021,Orange,279,East Texas
12-26-2021,Orange,238,East Texas
01-02-2022,Orange,271,East Texas
01-02-2022,Orange,279,East Texas
01-09-2022,Orange,238,East Texas
01-09-2022,Orange,238,East Texas
01-09-2022,Orange,279,East Texas
01-09-2022,Orange,Yard,East Texas
01-16-2022,Orange,238,East Texas
01-16-2022,Orange,279,East Texas
01-23-2022,Orange,269,East Texas
01-23-2022,Orange,586,East Texas
01-30-2022,Orange,269,East Texas
01-30-2022,Orange,586,East Texas
01-30-2022,Orange,591,East Texas
02-06-2022,Orange,238,East Texas
02-13-2022,Orange,238,East Texas
02-13-2022,Orange,238,East Texas
02-13-2022,Orange,269,East Texas
02-13-2022,Orange,586,East Texas
02-13-2022,Orange,587,East Texas
02-13-2022,Orange,587,East Texas
02-13-2022,Orange,587,East Texas
02-20-2022,Orange,221,East Texas
02-20-2022,Orange,586,East Texas
02-20-2022,Orange,586,East Texas
02-27-2022,Orange,279,East Texas
02-27-2022,Orange,570,East Texas
02-27-2022,Orange,587,East Texas
03-08-2022,Orange,238,East Texas
03-08-2022,Orange,587,East Texas
03-08-2022,Orange,591,East Texas
03-08-2022,Orange,591,East Texas
03-15-2022,Orange,221,East Texas
03-15-2022,Orange,238,East Texas
03-15-2022,Orange,238,East Texas
03-15-2022,Orange,279,East Texas
03-15-2022,Orange,587,East Texas
03-15-2022,Orange,587,East Texas
03-15-2022,Orange,587,East Texas
03-15-2022,Orange,591,East Texas
03-22-2022,Orange,238,East Texas
03-22-2022,Orange,238,East Texas
03-22-2022,Orange,269,East Texas
03-29-2022,Orange,271,East Texas
03-29-2022,Orange,570,East Texas
03-29-2022,Orange,587,East Texas
04-05-2022,Orange,238,East Texas
04-05-2022,Orange,587,East Texas
04-05-2022,Orange,591,East Texas
04-12-2022,Orange,238,East Texas
04-12-2022,Orange,269,East Texas
04-12-2022,Orange,269,East Texas
04-12-2022,Orange,587,East Texas
04-26-2022,Orange,238,East Texas
04-26-2022,Red,271,East Texas
05-03-2022,Orange,269,East Texas
05-03-2022,Orange,587,East Texas
05-03-2022,Orange,591,East Texas
05-10-2022,Orange,591,East Texas
